"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderUsesSensibleDefaults"
"","2","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","58","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","factoryPersistsBuilderData"
"","79","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","resetMakesTestsIndependent"
"","69","flywaySeedsReferenceDataButNoOrders_fail()","","2026-07-10","failed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders_fail"
"","9","refundedBuilderCreatesRefundedOrder_fail()","","2026-07-10","failed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder_fail"
"","1","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","99","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","countsOnlyThisTestsOrders"
"","56","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"","1","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
